0	Unknown	0	0	0	0	0
1	Left-Cerebral-Exterior	0.27451	0.509804	0.705882	0	0.0000705467
2	Left-Cerebral-White-Matter	0.960784	0.960784	0.960784	0	0.000141093
3	Left-Cerebral-Cortex	0.803922	0.243137	0.305882	0	0.00021164
4	Left-Lateral-Ventricle	0.470588	0.0705882	0.52549	0	0.000282187
5	Left-Inf-Lat-Vent	0.768627	0.227451	0.980392	0	0.000352734
6	Left-Cerebellum-Exterior	0	0.580392	0	0	0.00042328
7	Left-Cerebellum-White-Matter	0.862745	0.972549	0.643137	0	0.000493827
8	Left-Cerebellum-Cortex	0.901961	0.580392	0.133333	0	0.000564374
9	Left-Thalamus-unused	0	0.462745	0.054902	0	0.000634921
10	Left-Thalamus	0	0.462745	0.054902	0	0.000705467
11	Left-Caudate	0.478431	0.729412	0.862745	0	0.000776014
12	Left-Putamen	0.92549	0.0509804	0.690196	0	0.000846561
13	Left-Pallidum	0.0470588	0.188235	1	0	0.000917108
14	3rd-Ventricle	0.8	0.713726	0.556863	0	0.000987654
15	4th-Ventricle	0.164706	0.8	0.643137	0	0.0010582
16	Brain-Stem	0.466667	0.623529	0.690196	0	0.00112875
17	Left-Hippocampus	0.862745	0.847059	0.0784314	0	0.00119929
18	Left-Amygdala	0.403922	1	1	0	0.00126984
19	Left-Insula	0.313726	0.768627	0.384314	0	0.00134039
20	Left-Operculum	0.235294	0.227451	0.823529	0	0.00141093
21	Line-1	0.235294	0.227451	0.823529	0	0.00148148
22	Line-2	0.235294	0.227451	0.823529	0	0.00155203
23	Line-3	0.235294	0.227451	0.823529	0	0.00162257
24	CSF	0.235294	0.235294	0.235294	0	0.00169312
25	Left-Lesion	1	0.647059	0	0	0.00176367
26	Left-Accumbens-area	1	0.647059	0	0	0.00183422
27	Left-Substancia-Nigra	0	1	0.498039	0	0.00190476
28	Left-VentralDC	0.647059	0.164706	0.164706	0	0.00197531
29	Left-undetermined	0.529412	0.807843	0.921569	0	0.00204586
30	Left-vessel	0.627451	0.12549	0.941176	0	0.0021164
31	Left-choroid-plexus	0	0.784314	0.784314	0	0.00218695
32	Left-F3orb	0.392157	0.196078	0.392157	0	0.0022575
33	Left-lOg	0.529412	0.196078	0.290196	0	0.00232804
34	Left-aOg	0.478431	0.529412	0.196078	0	0.00239859
